VERTEX_NUMBER 	 COLOR_NUMBER
30	0
87	1
42	2
84	3
89	4
56	5
45	6
51	7
60	8
79	9
27	10
54	11
44	12
53	13
96	14
76	15
73	16
33	17
65	18
63	19
98	20
62	21
50	22
93	23
64	24
68	25
39	26
78	26
59	4
67	16
83	19
80	22
97	9
46	10
36	11
99	20
49	6
66	0
70	7
32	2
92	5
55	17
74	12
81	3
82	14
75	8
58	27
90	25
47	28
71	15
37	23
86	29
61	30
95	13
48	31
72	9
35	1
88	7
43	32
94	32
41	8
52	33
77	27
23	34
40	14
31	35
91	13
28	21
15	31
29	33
57	28
22	4
25	6
85	11
34	10
69	11
38	24
24	35
17	36
26	18
13	27
19	29
21	0
14	37
18	30
20	22
16	38
9	1
10	17
8	32
7	18
11	25
12	19
6	5
5	2
3	16
4	1
2	12
1	10
0	0
